"","Model_Type","Mean_AUC_Cross_Validated","se_AUC_Cross_Validated"
"1","RSA_WCN_Mean_Score",0.901439628482972,0.000719979411830194
"2","RSA_WCN_SS",0.884891640866873,0.000862941127266895
"3","RSA_WCN_SS_Mean_Score",0.87843653250774,0.00092767260033515
"4","WCN_Mean_Score",0.861114551083591,0.00032173566099179
"5","RSA_WCN",0.857917956656347,0.000579335029890947
"6","WCN_SS_Mean_Score",0.844117647058824,0.000765819801918333
"7","WCN_SS",0.841114551083591,0.000795209132414149
"8","WCN",0.820356037151703,0.000431643030998421
"9","RSA_Mean_Score",0.812066563467492,0.000809509381459562
"10","Mean_Score",0.799318885448916,0.000458109661951539
"11","RSA_SS_Mean_Score",0.797430340557276,0.00145680406931066
"12","SS_Mean_Score",0.788459752321981,0.00137784578862264
"13","RSA_SS",0.768885448916409,0.00113225532804395
"14","SS",0.707352941176471,0.00183831450230377
"15","RSA",0.682352941176471,0.000718025199674526
