"","model.name","AUC"
"1","RSA_WCN_Mean_Score",0.945046439628483
"2","RSA_WCN_SS_Mean_Score",0.943498452012384
"3","RSA_WCN_SS",0.917956656346749
"4","RSA_WCN",0.913312693498452
"5","WCN_Mean_Score",0.910216718266254
"6","WCN_SS_Mean_Score",0.905572755417957
"7","RSA_SS_Mean_Score",0.895510835913313
"8","RSA_Mean_Score",0.871517027863777
"9","WCN_SS",0.868421052631579
"10","SS_Mean_Score",0.852941176470588
"11","Mean_Score",0.831269349845201
"12","RSA_SS",0.821207430340557
"13","WCN",0.819659442724458
"14","SS",0.763157894736842
"15","RSA",0.755417956656347
